CTF ids,CTF URLs,Rating,Tags,Task Id,Task Name,Competition,Title
3624,,1,xfrm,2566,MISC 100, Trend Micro CTF 2016 Online Qualifier ,CTFtime.org / Trend Micro CTF 2016 Online Qualifier / MISC 100 / Writeup
8527,http://tukan.farm/2018/01/06/nope/,,,5175,nope, 34C3 CTF ,CTFtime.org / 34C3 CTF / nope / Writeup
7581,https://derbenoo.github.io/ctf/2017/09/18/csaw_qual_17_tablez/,,,4656,tableEZ, CSAW CTF Qualification Round 2017 ,CTFtime.org / CSAW CTF Qualification Round 2017 / tableEZ / Writeup
8387,https://github.com/SPRITZ-Research-Group/ctf-writeups/tree/master/0x00ctf-2017/reverse/challenge-004-50,,engineering,5085,challenge-004, 0x00ctf-2017 ,CTFtime.org / 0x00ctf-2017 / challenge-004 / Writeup
4640,https://github.com/ymgve/ctf-writeups/tree/master/hackthevote2016/forensics250-trump_likes_colors,2,,3035,Trump Likes Colors, Hack The Vote 2016 ,CTFtime.org / Hack The Vote 2016 / Trump Likes Colors / Writeup
6300,https://github.com/n0l3ptr/ASISCTF2017/tree/master/Ransomware,,reversing,3850,Ransomware, ASIS CTF Quals 2017 ,CTFtime.org / ASIS CTF Quals 2017 / Ransomware / Writeup
5895,https://www.megabeets.net/pragyan-ctf-roller-coaster-ride/,5,reverse,3572,Roller Coaster Ride, Pragyan CTF 2017 ,CTFtime.org / Pragyan CTF 2017 / Roller Coaster Ride / Writeup
1318,http://rce4fun.blogspot.com/2015/03/boston-key-party-2015-community-college.html,,reverse engineering,1385,Community College, Boston Key Party CTF 2015 ,CTFtime.org / Boston Key Party CTF 2015 / Community College / Writeup
7563,https://github.com/p4-team/ctf/blob/master/2017-09-17-ekoparty/ekovm/README.md,,vm,4667,EKOVM, EKOPARTY CTF 2017 ,CTFtime.org / EKOPARTY CTF 2017 / EKOVM / Writeup
4050,http://pastebinthehacker.blogspot.com.au/2016/09/csaw-2015-pwn-contacts.html,,string,1648,contacts, CSAW CTF Qualification Round 2015 ,CTFtime.org / CSAW CTF Qualification Round 2015 / contacts / Writeup
1548,http://crashnotes.github.io/PoliCTF-Writeup/,,,1558,Hard Interview, PoliCTF 2015 ,CTFtime.org / PoliCTF 2015 / Hard Interview / Writeup
5036,https://www.youtube.com/watch?v=Rvhk3T0bYO0,5,,3199,Getit, SharifCTF 7 ,CTFtime.org / SharifCTF 7 / Getit / Writeup
3951,https://github.com/TeamContagion/CTF-Write-Ups/blob/master/icectf-2016/Misc/Search,,,2697,Search, IceCTF 2016 ,CTFtime.org / IceCTF 2016 / Search / Writeup
2042,https://github.com/ByteBandits/writeups/tree/master/ekoparty-ctf-2015/reversing/Patch%20me/sudhackar,,,1790,Patch me, EKOPARTY CTF 2015 ,CTFtime.org / EKOPARTY CTF 2015 / Patch me / Writeup
12821,https://github.com/m3ssap0/CTF-Writeups/tree/master/35C3%20Junior%20CTF/1996,,pwn,7426,JuniorCTF - 1996, 35C3 CTF ,CTFtime.org / 35C3 CTF / JuniorCTF - 1996 / Writeup
8515,https://github.com/p4-team/ctf/tree/master/2017-12-29-34c3/crypto_lol,,matrix,5169,lol, 34C3 CTF ,CTFtime.org / 34C3 CTF / lol / Writeup
9395,https://github.com/mr6r4y/write-ups/tree/master/challenges/volgactf-2018%40you-shall-not-pass,5,reversing,5607,You Shall Not Pass, VolgaCTF 2018 Quals ,CTFtime.org / VolgaCTF 2018 Quals / You Shall Not Pass / Writeup
6392,,,,3973,Broadcast , picoCTF 2017 ,CTFtime.org / picoCTF 2017 / Broadcast  / Writeup
2234,https://obumchidi.wordpress.com/2015/12/14/seccon-2015-online-ctf-steganography-3-solution/,,,1930,"Steganography 3 (Stegano, 100p)", SECCON 2015 Online CTF ,"CTFtime.org / SECCON 2015 Online CTF / Steganography 3 (Stegano, 100p) / Writeup"
1853,https://github.com/p4-team/ctf/tree/master/2015-09-16-csaw/pwn_300_ftp2#eng-version,,,1659,ftp2, CSAW CTF Qualification Round 2015 ,CTFtime.org / CSAW CTF Qualification Round 2015 / ftp2 / Writeup
4092,https://github.com/p4-team/ctf/tree/master/2016-09-09-asis-final/srpp,,,2772,SRPP, ASIS CTF Finals 2016 ,CTFtime.org / ASIS CTF Finals 2016 / SRPP / Writeup
5589,https://github.com/R3dCr3sc3nt/AlexCTF/blob/master/CR2-Many_time_secrets/README.md,,,3358,CR2: Many time secrets, AlexCTF ,CTFtime.org / AlexCTF / CR2: Many time secrets / Writeup
18,http://h4des.org/blog/index.php?/archives/326-Secuinside-2012-write-up-iu-500.html,,trivia,43,IU, SECUINSIDE CTF Quals 2012 ,CTFtime.org / SECUINSIDE CTF Quals 2012 / IU / Writeup
9072,https://medium.com/@cypherX/pragyanctf-2018-dec93b3a9e9d,3.5,,5469,Assemble your way to the flag, Pragyan CTF 2018 ,CTFtime.org / Pragyan CTF 2018 / Assemble your way to the flag / Writeup
7767,https://vishnudevtj.github.io/notes/squarectf-2017-seventeen,,compiler,4745,Seventeen, Square CTF 2017 ,CTFtime.org / Square CTF 2017 / Seventeen / Writeup
5711,,,,3385,Web1, nullcon HackIM   ,CTFtime.org / nullcon HackIM   / Web1 / Writeup
1258,https://github.com/ctfs/write-ups/tree/master/asis-ctf-finals-2014/fact-or-real,,,1288,Fact or Real?, ASIS CTF Finals 2014 ,CTFtime.org / ASIS CTF Finals 2014 / Fact or Real? / Writeup
6698,https://github.com/rayenmessaoudi/Write-ups-CTF/blob/master/MSSP%20CTF/One%20Time.md,,crypto,4150,D, Moroccan Cyber Security Camp 2017 ,CTFtime.org / Moroccan Cyber Security Camp 2017 / D / Writeup
8955,https://gist.github.com/vonKrafft/a3b4349d1c6334a2d63eff542c0a5643,,wordpress,5411,Scenario - MCCU, TAMUctf 18 ,CTFtime.org / TAMUctf 18 / Scenario - MCCU / Writeup
9872,,,pwn,5983,shellcodeme, Blaze CTF 2018 ,CTFtime.org / Blaze CTF 2018 / shellcodeme / Writeup
10095,https://github.com/aicioara/ctf/tree/master/2018/2018-05-20-RCTF/misc/git,,,6124,git, RCTF 2018 ,CTFtime.org / RCTF 2018 / git / Writeup
6607,https://bannsecurity.com/index.php/home/10-ctf-writeups/41-defcon-2017-mute,,,4111,mute, DEF CON CTF Qualifier 2017 ,CTFtime.org / DEF CON CTF Qualifier 2017 / mute / Writeup
2476,http://vulnerablespace.blogspot.co.uk/2016/02/ctf-writeup-sharif-university-ctf-2016_82.html,,,2037,Android App, Sharif University CTF 2016 ,CTFtime.org / Sharif University CTF 2016 / Android App / Writeup
7504,https://github.com/DirtySocksCTF/writeups/tree/master/2017_EKOPARTY/mydns_Crazy,,mydns,4634,Crazy, EKOPARTY CTF 2017 ,CTFtime.org / EKOPARTY CTF 2017 / Crazy / Writeup
334,http://www.blue-lotus.net/plaidctf-2013-bunyans_revenge-writeup/,,,373,bunyans_revenge, PlaidCTF 2013 ,CTFtime.org / PlaidCTF 2013 / bunyans_revenge / Writeup
46,http://blog.lse.epita.fr/articles/36-hacklu-ctf-2012-the-sandboxed-terminal-400-points.html,,,130,The Sandboxed Terminal, Hack.lu CTF 2012 ,CTFtime.org / Hack.lu CTF 2012 / The Sandboxed Terminal / Writeup
3368,http://hack.carleton.team/2016/05/21/defcon-ctf-qualifier-2016-baby-re/,,angr,2402,baby-re, DEF CON CTF Qualifier 2016 ,CTFtime.org / DEF CON CTF Qualifier 2016 / baby-re / Writeup
2432,https://0x90r00t.com/2016/02/07/sharif-university-ctf-2016-reverse-150-serial-write-up/,,,2039,Serial, Sharif University CTF 2016 ,CTFtime.org / Sharif University CTF 2016 / Serial / Writeup
5508,http://byte-off.com/ctf/alexctf-catalyst-system-writeup/,,reverse engineering,3359,RE3: Catalyst System, AlexCTF ,CTFtime.org / AlexCTF / RE3: Catalyst System / Writeup
